features,url,price,address,property_type,description
"
                Extra Parking,Warm Home with Thermostats ,Security Cameras,Monitored Alarm,Term & Rent Negotiable,Maintenance Free Garden
            ",http://myhome.ie/rentals/brochure/graces-park-derrinturn-kildare/3356663,"
        POA
    ","
        Graces Park, Derrinturn, Kildare
    ","
    ,
    
        ,
    
        ,
    
        ,
    
","
                Exceptionally Clean 4 Bed Detached home like new. Available soon, wooden & tiled floors throughout. Master ensuite. Sitting room, Bathroom Kitchen Dining, Utility room. Security Gates, walls, Monitored Alarm, Cameras  With numerous storage sheds, large front & back garden.,Ample parking for 4/5 cars.
            "
,http://myhome.ie/rentals/brochure/34-curraghwood-carlanstownn-kells-meath/2896942,"
        €750 / month
    ","
        34 Curraghwood, Carlanstownn, Kells, Meath
    ","
    ,
    
        ,
    
        ,
    
","
                Lovely three bedroom house, large kitchen, utility room, three bathrooms, sitting room, shed. Ideal family home
            "
,http://myhome.ie/rentals/brochure/ludlow-st-navan-meath/3374730,"
        €800 / month
    ","
        Ludlow St, Navan, Meath
    ","
    ,
    
        ,
    
","
                Luxury two bed apartment currently located in Navan Town Centre close to all amenities.,Recently renovated.,Economical storage heating.
            "
,http://myhome.ie/rentals/brochure/hollybrook-brighton-road-foxrock-dublin-18/3322423,"
        €2,350 / month
    ","
        Hollybrook, Brighton Road, Foxrock, Dublin 18
    ","
    ,
    
        ,
    
","
                Located on one of Dublin's most prestigious addresses - Brighton Road, Foxrock. A tree lined road in the leafy suburbs, which has easy access to both the N11 and M50.,Large 2 Bed + 2 Bath top floor apartment in one of Dublin's most exclusive developments. Spacious living/dining area is fitted out with a host of beautiful Fendi pieces of furniture and Bang and Olufsen sound system. Feature fireplace and custom dining room table + chairs. Fully fitted modern kitchen with all the essential NEF + Russell Hobbs appliances. Both bathrooms have shower rooms. Master Bedroom has large walk in wardrobe and ensuite.,15min walk/3min drive from the N11 dual carriageway which leads you directly into the city centre by bus or car. 10 minutes walk from the luas tram which brings you into the centre of Dublin - St. Stephen's Green. 3 min drive from the M50 motorway which gives you quick access to Wicklow and other neighbouring counties.,Available from 31st October. Flexible Lease Length.
            "
,http://myhome.ie/rentals/brochure/meath-road-bray-wicklow/3224035,"
        €1,175 / month
    ","
        Meath Road, Bray, Wicklow
    ","
    ,
    
        ,
    
","
                Large 2 Bedroom Apartment available now,Lounge with wooden flooring.,Kitchen tiled. Built in Wardrobes in both bedrooms. 1 Bathroom.,Laundry Facilities. Free WiFi. Freeview TV.,Convenient to Dart station,Bus station, Beach and town centre.
            "
"
                Amongst the many excellent features include:,- contemporary interior, designed to highest standards,- beautifully landscaped rear private garden with low maintenance, all-weather lawn,- Victorian style windows and doors,- multi-room entertainment system piping music, satellite TV, and radio throughout,- south-facing drawing room with balcony,- Phonewatch monitored alarm,- gas fired central heating,- built-in Gas fire place in both living room and upstairs drawing room,- spacious and modern kitchen with full range of integrated appliances,- allocated off-street parking for 2 cars
            ",http://myhome.ie/rentals/brochure/7-brownsbarn-wood-kingswood-cross-citywest-dublin-22/3298847,"
        €2,200 / month
    ","
        7 Brownsbarn Wood, Kingswood Cross, Citywest, Dublin 22
    ","
    ,
    
        ,
    
        ,
    
        ,
    
","
                Browns Barn Wood is a private enclave of large four bedroom family homes with outstanding architecture combined with a ultra-convenient location. ,Number 7 provides a spacious, stylish and modern living space situated in mature landscaped grounds. This fine home has been carefully designed and fitted-out to create a fantastic blend of comfort, elegance and modern convenience., ,Ideally situated in a desirable residential area, Browns Barn Wood benefits from excellent transportation links including access to the Luas, outer relief road, M50 and is only 9km to the city centre. The property is within walking distance of the LUAS Red Line at Cheeverstown with convenient connectivity to city centre. ,Other excellent amenities include City West Business Park, City West Country House Hotel & Golf Club, Browns Barn Restuarant and City West Shopping Centre.
            "
"
                Linen (duvets) and towels included (if required),Fire fuel available locally,Colour Satellite TV,DVD player,Radio/cassette,Microwave,Fridge/freezer,Washing machine,Fully fitted kitchen with utensils and crockery,Integrated vacuum system,Hairdryer,Parking,Garden with furniture
            ",http://myhome.ie/rentals/brochure/cahore-co-wexford-ballygarrett-wexford/3209576,"
        €450 / week
    ","
        Cahore, Co. Wexford, Ballygarrett, Wexford
    ","
    ,
    
        ,
    
","
                3 bedroomed cottage at seafront to let, 1 double bedroom, 2 box rooms with bunk beds, complete with fully fitted kitchen, living/dining area has wonderful views which look out on to the beach and Cahore pier. Enclosed back garden with BBQ facilities, The patio doors open onto the paved patio area which also features patio furniture.10 mins walk to Ballygarrett. Parking in front of house. Suitable for small family. Price includes electricity and gas bills. Please contact Órla after 3 pm.
            "
"
                One double en-suite bedroom with large kingsize raised bed so you can see through the large spacious windows Achill sound and magnificent surrounding beauty as you wake up, or moonlit bay as you fall asleep!,3 main rooms, (Bedroom, office/library space / Kitchen-diner +  hallway,Spacious and roomy with huge dining-lounge area with wood stove and wood chip central heating for economy and efficiency.  Situated overlooking both Blacksod Bay and Broadhaven Bay with a commanding view overlooking Belmullet as well as breathtaking mountainous views of Achill and distant geographical features.  A stone's throw from the town center yet far enough to reward you with peace, quiet and privacy, with no immediate neighbors.,PREFERENCE GIVEN TO NON SMOKERS
            ",http://myhome.ie/rentals/brochure/teach-tara-belmullet-co-mayo/2231343,"
        €395 / month
    ","
        Teach Tara, Belmullet, Co. Mayo
    ","
    ,
    
        ,
    
        ,
    
","
                Spacious and roomy with huge dining-lounge area with wood stove and back boiler for economy and efficiency.  Situated overlooking both Blacksod Bay and Broadhaven Bay with a commanding view overlooking Belmullet as well as breathtaking mountainous views of Achill and distant geographical features.  A stone's throw from the town center yet far enough to reward you with peace, quiet and privacy, with no immediate neighbors.
            "
,http://myhome.ie/rentals/brochure/west-gate-cashel-tipperary/2899763,"
        €415 / month
    ","
        West Gate, Cashel, Tipperary
    ","
    ,
    
        ,
    
        ,
    
        ,
    
","
                Available Now - Apartment on 2th floor (lift) One fully furnished double bedroom located in modern gated complex with private car park. Excellent location beside Bailey's Hotel Cashel town center.Very spacious apartment, located in modern well maintained gated complex.
            "
"
                Comfortable Studio apartment just been totally refurbished,All bills included,Walking distance to DCU collage and right beside bus to the city centre
            ",http://myhome.ie/rentals/brochure/fairways-park-glasnevin-nth-dublin-11/3383578,"
        €700 / month
    ","
        Fairways park, Glasnevin Nth, Dublin 11, D 11
    ","
    ,
    
        ,
    
        ,
    
","
                First letting of Modern Detached Studio Apartment in the Glasnevin area .,Studio apartment at rear of residence with own entrance to the side of house.,Ideal for student or young professional ,10 minute walk to DCU collage,Direct bus root to city centre ,Accommodation is open plan layout with separate bathroom including electric heated shower .,Full  new kitchen including  washing machine,  cooker and  all other amenities.,Off street parking ,Decorated to high spec.,Wi-Fi and all  bills included  .,Available from first week in November.,Quiet tenant only ,If interested call or email Kate .,Including confirmation of current job and landlord reference
            "
